"origen","destino","tipo_via","distancia_km","tiempo_min","nivel_trafico","trafico","capacidad","velocidad_max","prioridad_via","bidireccional"
"San Borja_1386","San Isidro_1225","autopista","11","33","2","trafico moderado","100","80","baja","si"
"Villa El Salvador_1312","Chorrillos_366","calle","4","8","2","trafico moderado","500","30","media","si"
"Los Olivos_7","Callao_199","avenida","3","7","3","trafico alto","500","60","media","no"
"Chorrillos_724","Villa El Salvador_350","autopista","15","65","1","trafico libre","250","80","baja","si"
"Los Olivos_1025","Comas_125","avenida","8","38","1","trafico libre","250","60","baja","si"
"Comas_26","Los Olivos_788","autopista","13","31","2","trafico moderado","40","100","alta","no"
"Barranco_1367","Chorrillos_190","autopista","12","24","1","trafico libre","100","80","baja","si"
"San Isidro_1209","Rimac_943","avenida","4","11","2","trafico moderado","150","60","media","no"
"La Molina_473","Ate_839","avenida","5","22","3","trafico alto","60","50","baja","no"
"San Isidro_226","Miraflores_410","calle","3","6","4","trafico extremo","60","40","alta","no"
"Chorrillos_726","Barranco_912","calle","4","19","4","trafico extremo","100","40","baja","no"
"San Borja_178","San Isidro_741","calle","1","3","2","trafico moderado","100","40","media","no"
"San Juan de Lurigancho_885","Rimac_505","avenida","5","23","3","trafico alto","100","50","alta","si"
"San Miguel_848","Callao_916","calle","5","22","2","trafico moderado","60","30","alta","no"
"La Molina_207","Surco_884","autopista","10","41","2","trafico moderado","100","100","alta","no"
"Callao_189","Los Olivos_605","calle","2","5","3","trafico alto","500","30","baja","si"
"Chorrillos_360","Villa El Salvador_790","avenida","9","41","2","trafico moderado","40","50","media","si"
"Comas_1277","Rimac_1452","calle","2","5","4","trafico extremo","40","40","baja","si"
"Ate_995","La Molina_1027","calle","3","13","4","trafico extremo","500","30","baja","no"
"San Isidro_741","Miraflores_687","autopista","9","21","1","trafico libre","500","80","media","si"
"San Isidro_397","San Borja_244","calle","4","11","2","trafico moderado","150","30","baja","no"
"Chorrillos_888","Barranco_843","avenida","5","17","3","trafico alto","250","60","media","si"
"San Borja_549","San Isidro_613","autopista","11","38","2","trafico moderado","40","100","media","no"
"Callao_1055","San Miguel_1245","autopista","8","20","2","trafico moderado","150","100","media","no"
"San Isidro_1217","Miraflores_1265","avenida","10","37","2","trafico moderado","250","50","baja","si"
"Rimac_956","Comas_272","calle","3","9","2","trafico moderado","150","30","baja","no"
"Barranco_865","Miraflores_1230","autopista","11","42","1","trafico libre","150","100","baja","no"
"San Miguel_732","San Isidro_85","avenida","6","24","3","trafico alto","250","50","alta","si"
"Ate_310","La Molina_1036","avenida","10","26","2","trafico moderado","40","50","media","no"
"San Isidro_741","San Borja_1286","avenida","8","31","3","trafico alto","150","50","alta","si"
"Comas_76","Los Olivos_731","autopista","15","39","2","trafico moderado","40","100","media","si"
"Ate_1496","La Molina_748","avenida","4","14","2","trafico moderado","150","50","alta","si"
"La Molina_588","Surco_1012","autopista","13","36","1","trafico libre","40","80","media","no"
"Ate_1305","San Juan de Lurigancho_1169","calle","3","11","4","trafico extremo","40","30","baja","no"
"Surco_797","La Molina_1302","autopista","15","32","1","trafico libre","60","100","media","si"
"San Borja_1441","Surco_1393","calle","2","5","2","trafico moderado","250","40","media","no"
"Barranco_194","Miraflores_384","calle","5","22","4","trafico extremo","500","40","alta","no"
"Callao_757","Los Olivos_1213","avenida","9","38","1","trafico libre","500","50","baja","si"
"Miraflores_953","San Isidro_810","autopista","9","21","1","trafico libre","500","80","media","no"
"San Juan de Lurigancho_78","Ate_839","calle","5","22","4","trafico extremo","100","40","alta","no"
"Rimac_443","San Isidro_1364","avenida","4","16","2","trafico moderado","500","60","alta","si"
"Comas_1368","Rimac_949","calle","5","20","3","trafico alto","100","40","media","si"
"Callao_548","Los Olivos_389","autopista","15","57","1","trafico libre","100","100","baja","no"
"La Molina_259","Surco_482","avenida","4","16","3","trafico alto","60","60","media","si"
"San Borja_1297","Surco_1152","calle","5","11","2","trafico moderado","500","30","media","no"
"Rimac_431","San Isidro_38","avenida","7","26","1","trafico libre","150","60","media","no"
"La Molina_494","San Borja_3","calle","2","8","4","trafico extremo","250","30","baja","si"
"Rimac_949","Comas_125","calle","5","19","3","trafico alto","60","30","alta","si"
"Ate_1366","La Molina_1476","autopista","10","42","1","trafico libre","150","100","media","si"
"Villa El Salvador_301","Surco_1214","avenida","10","36","1","trafico libre","100","60","alta","si"
"San Miguel_1276","Callao_666","autopista","10","25","2","trafico moderado","150","100","baja","no"
"Rimac_60","Comas_804","avenida","10","34","2","trafico moderado","150","50","media","si"
"San Miguel_1134","San Isidro_209","calle","1","4","3","trafico alto","60","40","media","no"
"Surco_359","Barranco_701","calle","1","5","4","trafico extremo","100","30","alta","no"
"Miraflores_798","San Isidro_616","autopista","10","32","2","trafico moderado","100","80","baja","si"
"Rimac_755","San Isidro_576","autopista","10","38","2","trafico moderado","60","80","media","no"
"Villa El Salvador_1188","Chorrillos_126","avenida","4","12","3","trafico alto","100","60","baja","si"
"Comas_1018","Rimac_203","calle","2","10","4","trafico extremo","500","30","alta","si"
"Los Olivos_653","Comas_814","autopista","15","37","1","trafico libre","100","80","alta","no"
"San Juan de Lurigancho_543","Rimac_1186","calle","2","5","4","trafico extremo","100","40","alta","si"
"San Miguel_732","San Isidro_1300","avenida","8","28","3","trafico alto","100","50","baja","si"
"Callao_484","Los Olivos_1261","autopista","12","32","2","trafico moderado","500","80","baja","no"
"Chorrillos_1026","Barranco_534","avenida","3","14","1","trafico libre","150","50","alta","no"
"San Miguel_1437","San Isidro_741","autopista","14","70","1","trafico libre","250","100","media","si"
"Miraflores_136","Barranco_936","autopista","15","35","1","trafico libre","100","100","baja","si"
"Los Olivos_104","Comas_478","autopista","10","49","2","trafico moderado","100","100","media","no"
"San Borja_333","Surco_767","avenida","6","19","2","trafico moderado","60","50","media","si"
"San Miguel_1354","Callao_858","autopista","15","51","1","trafico libre","60","80","media","no"
"Villa El Salvador_1312","Chorrillos_1022","autopista","10","44","2","trafico moderado","100","100","media","no"
"Rimac_296","Comas_1266","avenida","4","19","3","trafico alto","60","60","baja","si"
"Miraflores_1479","San Isidro_1259","calle","4","17","4","trafico extremo","60","30","media","si"
"La Molina_186","Surco_821","calle","4","19","2","trafico moderado","500","30","media","no"
"San Miguel_732","Callao_778","avenida","6","21","2","trafico moderado","60","60","baja","si"
"Callao_985","San Miguel_74","avenida","4","10","1","trafico libre","60","50","baja","si"
"Surco_396","Barranco_936","calle","5","13","4","trafico extremo","150","40","alta","no"
"Surco_82","La Molina_824","autopista","12","59","2","trafico moderado","40","100","alta","si"
"Comas_1153","Los Olivos_8","calle","5","19","3","trafico alto","500","30","alta","no"
"Barranco_1144","Surco_745","calle","5","11","4","trafico extremo","150","30","media","si"
"Villa El Salvador_1078","Chorrillos_198","calle","3","8","4","trafico extremo","500","30","baja","si"
"San Miguel_502","Callao_1252","calle","5","19","2","trafico moderado","100","40","media","no"
"Los Olivos_1235","Callao_192","autopista","14","69","1","trafico libre","150","100","baja","no"
"San Isidro_1020","Miraflores_889","calle","3","14","2","trafico moderado","60","30","alta","no"
"San Juan de Lurigancho_304","Ate_1321","calle","5","15","4","trafico extremo","40","40","media","no"
"San Borja_1103","La Molina_358","calle","2","6","4","trafico extremo","60","30","alta","no"
"Chorrillos_986","Villa El Salvador_1343","autopista","12","29","1","trafico libre","100","100","alta","no"
"Callao_1303","San Miguel_1346","calle","2","5","3","trafico alto","150","30","alta","si"
"Surco_1498","San Borja_1058","avenida","4","8","3","trafico alto","150","50","alta","si"
"Rimac_500","Comas_904","autopista","14","33","1","trafico libre","500","80","baja","si"
"San Borja_1165","San Isidro_1279","calle","1","2","2","trafico moderado","40","30","alta","no"
"Barranco_978","Surco_472","autopista","10","46","1","trafico libre","40","80","baja","no"
"Callao_882","Los Olivos_614","autopista","10","22","1","trafico libre","500","100","baja","no"
"Barranco_276","Chorrillos_190","avenida","7","26","2","trafico moderado","150","50","media","no"
"Villa El Salvador_577","Surco_1379","avenida","8","31","1","trafico libre","60","60","media","no"
"Barranco_183","Chorrillos_360","avenida","6","28","3","trafico alto","100","50","media","no"
"San Miguel_1164","San Isidro_28","autopista","12","42","2","trafico moderado","100","100","baja","no"
"Rimac_950","Comas_601","calle","4","10","3","trafico alto","100","30","alta","si"
"San Borja_1327","San Isidro_1382","calle","5","23","4","trafico extremo","250","30","baja","no"
"Rimac_1442","San Isidro_28","avenida","6","19","3","trafico alto","250","50","media","no"
"Chorrillos_1150","Barranco_1172","calle","1","2","2","trafico moderado","40","40","alta","si"
"Los Olivos_1261","Callao_779","autopista","12","48","2","trafico moderado","40","100","alta","no"
"San Borja_250","San Isidro_1086","autopista","13","60","1","trafico libre","100","100","media","si"
"La Molina_846","San Borja_208","avenida","3","12","2","trafico moderado","150","60","baja","si"
"Chorrillos_930","Villa El Salvador_31","calle","1","2","3","trafico alto","250","40","alta","si"
"Callao_565","San Miguel_277","autopista","9","27","2","trafico moderado","40","80","baja","no"
"San Miguel_527","San Isidro_1225","avenida","3","14","1","trafico libre","150","50","alta","si"
"Barranco_980","Surco_793","autopista","12","35","2","trafico moderado","60","100","alta","si"
"Los Olivos_522","Callao_1324","autopista","10","29","2","trafico moderado","40","80","alta","no"
"Rimac_1050","San Isidro_1217","autopista","13","65","2","trafico moderado","60","100","baja","no"
"Rimac_202","San Isidro_414","avenida","4","13","1","trafico libre","40","50","baja","no"
"Los Olivos_483","Comas_116","avenida","5","20","1","trafico libre","60","50","baja","no"
"Chorrillos_1274","Barranco_534","calle","3","14","2","trafico moderado","60","30","baja","si"
"Barranco_1359","Chorrillos_1066","avenida","10","20","2","trafico moderado","60","50","baja","no"
"Miraflores_739","Barranco_928","autopista","10","34","2","trafico moderado","100","80","media","si"
"Callao_345","Los Olivos_224","avenida","4","16","1","trafico libre","40","50","media","si"
"Chorrillos_659","Barranco_406","autopista","10","46","2","trafico moderado","100","80","baja","no"
"San Isidro_84","Rimac_817","avenida","6","18","1","trafico libre","500","50","media","no"
"Rimac_685","Comas_478","avenida","3","6","3","trafico alto","500","60","media","no"
"Rimac_238","Comas_132","avenida","8","26","2","trafico moderado","100","60","baja","no"
"Miraflores_1469","San Isidro_810","avenida","6","20","3","trafico alto","500","50","alta","no"
