"id_interseccion","nombre","distrito","zona","latitud","longitud","tipo_interseccion","semaforo"
"1","Chorrillos_1","Chorrillos","Lima Sur","-12.244007","-77.018023","cruce","no"
"2","Chorrillos_2","Chorrillos","Lima Sur","-12.083843","-76.860421","cruce","no"
"3","San Borja_3","San Borja","Lima Centro","-12.215045","-76.868711","rotonda","si"
"4","Villa El Salvador_4","Villa El Salvador","Lima Sur","-11.976164","-76.956994","cruce","no"
"5","San Juan de Lurigancho_5","San Juan de Lurigancho","Lima Este","-12.17249","-77.039554","rotonda","si"
"6","Ate_6","Ate","Lima Este","-12.22227","-76.949305","rotonda","no"
"7","Los Olivos_7","Los Olivos","Lima Norte","-12.0692","-76.896959","interseccion principal","no"
"8","Los Olivos_8","Los Olivos","Lima Norte","-12.227358","-76.907465","rotonda","si"
"9","Comas_9","Comas","Lima Norte","-11.896363","-76.973403","cruce","no"
"10","La Molina_10","La Molina","Lima Este","-11.852114","-77.182022","interseccion principal","si"
"11","San Miguel_11","San Miguel","Lima Oeste","-11.995913","-76.948901","rotonda","si"
"12","Rimac_12","Rimac","Lima Centro","-11.966934","-76.875832","interseccion principal","no"
"13","Barranco_13","Barranco","Lima Sur","-11.948578","-76.887386","cruce","no"
"14","Miraflores_14","Miraflores","Lima Sur","-12.08047","-76.896452","rotonda","si"
"15","San Miguel_15","San Miguel","Lima Oeste","-12.181474","-77.09081","interseccion principal","si"
"16","Surco_16","Surco","Lima Sur","-11.96627","-76.946604","interseccion principal","si"
"17","Surco_17","Surco","Lima Sur","-12.241548","-76.948844","rotonda","no"
"18","Villa El Salvador_18","Villa El Salvador","Lima Sur","-12.171778","-77.009421","cruce","si"
"19","La Molina_19","La Molina","Lima Este","-12.199843","-77.01618","rotonda","no"
"20","Rimac_20","Rimac","Lima Centro","-12.069582","-76.901404","interseccion principal","si"
"21","San Isidro_21","San Isidro","Lima Centro","-11.982893","-77.195113","cruce","no"
"22","La Molina_22","La Molina","Lima Este","-12.032921","-77.002236","interseccion principal","si"
"23","Chorrillos_23","Chorrillos","Lima Sur","-12.192962","-76.957426","interseccion principal","no"
"24","Surco_24","Surco","Lima Sur","-11.869475","-77.12689","interseccion principal","no"
"25","Callao_25","Callao","Lima Oeste","-12.017723","-76.879464","cruce","si"
"26","Comas_26","Comas","Lima Norte","-12.142571","-76.962236","interseccion principal","no"
"27","Callao_27","Callao","Lima Oeste","-12.132231","-77.154615","cruce","no"
"28","San Isidro_28","San Isidro","Lima Centro","-12.097345","-76.952535","rotonda","no"
"29","Barranco_29","Barranco","Lima Sur","-12.142178","-76.855019","cruce","no"
"30","San Juan de Lurigancho_30","San Juan de Lurigancho","Lima Este","-12.199984","-76.921775","rotonda","si"
"31","Villa El Salvador_31","Villa El Salvador","Lima Sur","-12.128089","-77.180347","interseccion principal","no"
"32","Los Olivos_32","Los Olivos","Lima Norte","-12.072733","-76.933155","cruce","no"
"33","Miraflores_33","Miraflores","Lima Sur","-12.221551","-77.104678","rotonda","si"
"34","Barranco_34","Barranco","Lima Sur","-12.077799","-77.015312","cruce","no"
"35","La Molina_35","La Molina","Lima Este","-12.156992","-76.898934","interseccion principal","no"
"36","Surco_36","Surco","Lima Sur","-12.051834","-76.970975","rotonda","si"
"37","Chorrillos_37","Chorrillos","Lima Sur","-12.157827","-76.902784","interseccion principal","no"
"38","San Isidro_38","San Isidro","Lima Centro","-12.190644","-76.911279","cruce","si"
"39","La Molina_39","La Molina","Lima Este","-12.123178","-77.063279","rotonda","no"
"40","Barranco_40","Barranco","Lima Sur","-12.047626","-76.870418","interseccion principal","si"
"41","Los Olivos_41","Los Olivos","Lima Norte","-12.059429","-77.016772","rotonda","no"
"42","Miraflores_42","Miraflores","Lima Sur","-12.139182","-76.949868","cruce","si"
"43","Surco_43","Surco","Lima Sur","-12.01953","-76.896009","interseccion principal","si"
"44","La Molina_44","La Molina","Lima Este","-11.8794","-76.934265","interseccion principal","no"
"45","Comas_45","Comas","Lima Norte","-11.886431","-77.089947","rotonda","no"
"46","San Borja_46","San Borja","Lima Centro","-12.190681","-77.060539","rotonda","no"
"47","San Borja_47","San Borja","Lima Centro","-12.10866","-76.884433","rotonda","no"
"48","Callao_48","Callao","Lima Oeste","-12.067732","-77.082285","rotonda","si"
"49","Villa El Salvador_49","Villa El Salvador","Lima Sur","-12.021868","-77.185472","cruce","no"
"50","Surco_50","Surco","Lima Sur","-12.118387","-77.131332","interseccion principal","si"
"51","Surco_51","Surco","Lima Sur","-11.997073","-76.966538","rotonda","si"
"52","Villa El Salvador_52","Villa El Salvador","Lima Sur","-12.23767","-76.924843","cruce","no"
"53","Barranco_53","Barranco","Lima Sur","-11.90964","-77.093387","rotonda","si"
"54","Ate_54","Ate","Lima Este","-12.230461","-76.87807","rotonda","si"
"55","Los Olivos_55","Los Olivos","Lima Norte","-12.15555","-76.903277","rotonda","si"
"56","San Isidro_56","San Isidro","Lima Centro","-12.075762","-77.075035","cruce","si"
"57","Comas_57","Comas","Lima Norte","-11.955852","-77.046648","rotonda","no"
"58","San Miguel_58","San Miguel","Lima Oeste","-11.960658","-76.903999","cruce","si"
"59","Chorrillos_59","Chorrillos","Lima Sur","-12.114326","-77.189893","rotonda","si"
"60","Rimac_60","Rimac","Lima Centro","-12.119669","-76.882662","rotonda","si"
"61","Los Olivos_61","Los Olivos","Lima Norte","-12.04517","-77.162848","interseccion principal","si"
"62","Comas_62","Comas","Lima Norte","-11.885053","-77.094725","cruce","no"
"63","Barranco_63","Barranco","Lima Sur","-12.168257","-76.997249","cruce","si"
"64","Los Olivos_64","Los Olivos","Lima Norte","-12.013336","-76.961269","interseccion principal","si"
"65","Callao_65","Callao","Lima Oeste","-11.923947","-76.976216","interseccion principal","no"
"66","San Isidro_66","San Isidro","Lima Centro","-12.23415","-77.008026","cruce","no"
"67","Barranco_67","Barranco","Lima Sur","-11.892392","-76.998641","interseccion principal","no"
"68","Comas_68","Comas","Lima Norte","-12.040957","-77.190849","rotonda","no"
"69","Los Olivos_69","Los Olivos","Lima Norte","-12.188527","-77.12084","interseccion principal","no"
"70","Barranco_70","Barranco","Lima Sur","-12.21987","-76.946794","cruce","no"
"71","Ate_71","Ate","Lima Este","-12.17448","-76.957557","cruce","si"
"72","San Juan de Lurigancho_72","San Juan de Lurigancho","Lima Este","-11.876837","-77.143229","rotonda","no"
"73","San Isidro_73","San Isidro","Lima Centro","-12.063191","-76.914546","cruce","si"
"74","San Miguel_74","San Miguel","Lima Oeste","-12.086958","-77.10966","rotonda","no"
"75","Comas_75","Comas","Lima Norte","-11.86664","-76.953397","cruce","no"
"76","Comas_76","Comas","Lima Norte","-11.967699","-76.938113","interseccion principal","no"
"77","Barranco_77","Barranco","Lima Sur","-11.870778","-76.901897","cruce","si"
"78","San Juan de Lurigancho_78","San Juan de Lurigancho","Lima Este","-12.005052","-76.981008","cruce","si"
"79","Villa El Salvador_79","Villa El Salvador","Lima Sur","-12.139401","-77.065469","cruce","no"
"80","Miraflores_80","Miraflores","Lima Sur","-11.892092","-77.184686","interseccion principal","si"
"81","Chorrillos_81","Chorrillos","Lima Sur","-11.989092","-77.173677","interseccion principal","no"
"82","Surco_82","Surco","Lima Sur","-12.10807","-77.04701","cruce","si"
"83","Rimac_83","Rimac","Lima Centro","-12.001324","-76.976139","interseccion principal","si"
"84","San Isidro_84","San Isidro","Lima Centro","-12.134144","-77.136423","interseccion principal","si"
"85","San Isidro_85","San Isidro","Lima Centro","-11.977489","-77.180418","interseccion principal","no"
"86","San Borja_86","San Borja","Lima Centro","-11.967916","-77.140588","rotonda","no"
"87","Rimac_87","Rimac","Lima Centro","-11.995497","-76.997737","cruce","si"
"88","Los Olivos_88","Los Olivos","Lima Norte","-12.036606","-77.14273","cruce","si"
"89","La Molina_89","La Molina","Lima Este","-12.152252","-76.96401","interseccion principal","si"
"90","San Borja_90","San Borja","Lima Centro","-11.861702","-76.880948","interseccion principal","no"
"91","Rimac_91","Rimac","Lima Centro","-11.963964","-76.995678","cruce","si"
"92","Surco_92","Surco","Lima Sur","-12.164275","-77.111545","rotonda","no"
"93","Los Olivos_93","Los Olivos","Lima Norte","-12.20732","-76.924236","cruce","no"
"94","San Borja_94","San Borja","Lima Centro","-11.943303","-77.125483","cruce","no"
"95","Barranco_95","Barranco","Lima Sur","-12.112749","-76.857406","cruce","no"
"96","Surco_96","Surco","Lima Sur","-11.937523","-76.925232","interseccion principal","no"
"97","Surco_97","Surco","Lima Sur","-12.204002","-77.129069","cruce","no"
"98","San Isidro_98","San Isidro","Lima Centro","-11.927126","-76.961972","interseccion principal","no"
"99","La Molina_99","La Molina","Lima Este","-11.878074","-77.145767","cruce","si"
"100","San Borja_100","San Borja","Lima Centro","-11.980655","-76.98985","rotonda","no"
"101","San Borja_101","San Borja","Lima Centro","-11.894531","-77.064756","interseccion principal","no"
"102","San Juan de Lurigancho_102","San Juan de Lurigancho","Lima Este","-12.024603","-77.093855","rotonda","no"
"103","Los Olivos_103","Los Olivos","Lima Norte","-12.060911","-77.089264","rotonda","no"
"104","Los Olivos_104","Los Olivos","Lima Norte","-12.2226","-77.141433","interseccion principal","si"
"105","Ate_105","Ate","Lima Este","-11.972282","-77.118861","interseccion principal","no"
"106","Ate_106","Ate","Lima Este","-12.181455","-76.928038","interseccion principal","no"
"107","Barranco_107","Barranco","Lima Sur","-12.10442","-76.993737","cruce","si"
"108","La Molina_108","La Molina","Lima Este","-11.970598","-76.977494","rotonda","no"
"109","San Miguel_109","San Miguel","Lima Oeste","-11.960331","-76.944335","cruce","no"
"110","Surco_110","Surco","Lima Sur","-12.127827","-77.083216","rotonda","si"
"111","Rimac_111","Rimac","Lima Centro","-12.106893","-77.185457","rotonda","no"
"112","Rimac_112","Rimac","Lima Centro","-12.171331","-76.905165","interseccion principal","si"
"113","San Borja_113","San Borja","Lima Centro","-12.008682","-77.198613","cruce","si"
"114","Miraflores_114","Miraflores","Lima Sur","-12.078497","-76.865432","rotonda","si"
"115","La Molina_115","La Molina","Lima Este","-11.932125","-77.121632","interseccion principal","no"
"116","Comas_116","Comas","Lima Norte","-11.910847","-76.987278","cruce","si"
