"origen","destino","tipo_via","distancia_km","tiempo_min","nivel_trafico","trafico","capacidad","velocidad_max","prioridad_via","bidireccional"
"San Miguel_399","Callao_49","autopista","8","25","1","trafico libre","250","100","alta","no"
"Miraflores_883","Surco_1377","calle","5","22","3","trafico alto","500","40","alta","no"
"Villa El Salvador_1023","Chorrillos_481","calle","3","6","4","trafico extremo","500","40","media","no"
"Villa El Salvador_524","Chorrillos_1072","calle","2","9","3","trafico alto","60","30","baja","si"
"San Juan de Lurigancho_128","Ate_455","autopista","14","33","1","trafico libre","60","100","alta","si"
"Miraflores_634","Surco_68","avenida","5","16","2","trafico moderado","40","50","media","no"
"Rimac_880","Comas_1127","autopista","9","23","1","trafico libre","500","80","baja","si"
"Barranco_82","Miraflores_1247","calle","3","15","3","trafico alto","250","40","baja","si"
"Rimac_1413","San Isidro_819","avenida","6","25","2","trafico moderado","60","50","alta","si"
"Ate_638","La Molina_998","calle","2","8","4","trafico extremo","500","40","baja","no"
"Callao_313","San Miguel_841","autopista","10","30","1","trafico libre","250","100","media","si"
"Comas_1388","Rimac_35","avenida","6","12","3","trafico alto","100","60","alta","no"
"Callao_376","Los Olivos_641","calle","4","20","3","trafico alto","250","40","baja","no"
"Barranco_1303","Miraflores_1019","autopista","10","27","2","trafico moderado","150","80","alta","no"
"San Borja_1087","Surco_309","avenida","7","21","3","trafico alto","40","60","media","si"
"Barranco_106","Miraflores_1460","calle","2","5","2","trafico moderado","250","40","alta","no"
"Rimac_837","San Isidro_896","avenida","9","25","1","trafico libre","100","50","baja","no"
"Los Olivos_127","Comas_21","avenida","5","25","3","trafico alto","60","60","media","no"
"Los Olivos_1251","Comas_813","calle","2","10","3","trafico alto","100","30","baja","si"
"Ate_1473","La Molina_1435","avenida","10","24","1","trafico libre","150","50","media","si"
"Rimac_470","Comas_315","autopista","12","24","2","trafico moderado","60","100","baja","no"
"Chorrillos_481","Villa El Salvador_749","avenida","7","17","2","trafico moderado","250","50","baja","si"
"San Miguel_162","Callao_356","avenida","3","13","1","trafico libre","40","60","alta","si"
"Ate_1004","La Molina_1379","autopista","8","23","1","trafico libre","250","80","alta","no"
"Barranco_1380","Chorrillos_179","avenida","9","30","1","trafico libre","500","60","baja","si"
